time,divergence_dt,divergence_dt_half,divergence_dt_quarter
0.0990,1.01063106e-06,1.00258337e-06,1.00258338e-06
0.1000,1.01085317e-06,1.00263658e-06,1.00263658e-06
0.1010,1.01107770e-06,1.00269034e-06,1.00269034e-06
0.1020,1.01130466e-06,1.00274466e-06,1.00274466e-06
0.1030,1.01153405e-06,1.00279954e-06,1.00279954e-06
0.1040,1.01176588e-06,1.00285498e-06,1.00285498e-06
0.1050,1.01200015e-06,1.00291098e-06,1.00291098e-06
0.1060,1.01223686e-06,1.00296753e-06,1.00296754e-06
0.1070,1.01247603e-06,1.00302465e-06,1.00302466e-06
0.1080,1.01271764e-06,1.00308233e-06,1.00308234e-06
0.1090,1.01296172e-06,1.00314057e-06,1.00314058e-06
0.1100,1.01320825e-06,1.00319937e-06,1.00319938e-06
0.1110,1.01345725e-06,1.00325874e-06,1.00325874e-06
0.1120,1.01370871e-06,1.00331867e-06,1.00331867e-06
0.1130,1.01396265e-06,1.00337916e-06,1.00337916e-06
0.1140,1.01421907e-06,1.00344021e-06,1.00344022e-06
0.1150,1.01447797e-06,1.00350183e-06,1.00350184e-06
0.1160,1.01473935e-06,1.00356402e-06,1.00356402e-06
0.1170,1.01500322e-06,1.00362677e-06,1.00362677e-06
0.1180,1.01526958e-06,1.00369008e-06,1.00369009e-06
0.1190,1.01553844e-06,1.00375397e-06,1.00375397e-06
0.1200,1.01580980e-06,1.00381841e-06,1.00381842e-06
0.1210,1.01608367e-06,1.00388343e-06,1.00388343e-06
0.1220,1.01636004e-06,1.00394901e-06,1.00394902e-06
0.1230,1.01663893e-06,1.00401516e-06,1.00401517e-06
0.1240,1.01692033e-06,1.00408188e-06,1.00408189e-06
0.1250,1.01720425e-06,1.00414917e-06,1.00414918e-06
0.1260,1.01749070e-06,1.00421703e-06,1.00421704e-06
0.1270,1.01777968e-06,1.00428546e-06,1.00428547e-06
0.1280,1.01807119e-06,1.00435446e-06,1.00435447e-06
0.1290,1.01836523e-06,1.00442403e-06,1.00442404e-06
0.1300,1.01866182e-06,1.00449417e-06,1.00449418e-06
0.1310,1.01896095e-06,1.00456489e-06,1.00456489e-06
0.1320,1.01926263e-06,1.00463617e-06,1.00463618e-06
0.1330,1.01956686e-06,1.00470803e-06,1.00470804e-06
0.1340,1.01987365e-06,1.00478047e-06,1.00478047e-06
0.1350,1.02018300e-06,1.00485347e-06,1.00485348e-06
0.1360,1.02049492e-06,1.00492705e-06,1.00492706e-06
0.1370,1.02080940e-06,1.00500121e-06,1.00500122e-06
0.1380,1.02112645e-06,1.00507594e-06,1.00507595e-06
0.1390,1.02144608e-06,1.00515125e-06,1.00515125e-06
0.1400,1.02176830e-06,1.00522713e-06,1.00522714e-06
0.1410,1.02209309e-06,1.00530359e-06,1.00530360e-06
0.1420,1.02242048e-06,1.00538063e-06,1.00538063e-06
0.1430,1.02275045e-06,1.00545824e-06,1.00545825e-06
0.1440,1.02308303e-06,1.00553644e-06,1.00553644e-06
0.1450,1.02341820e-06,1.00561521e-06,1.00561522e-06
0.1460,1.02375598e-06,1.00569456e-06,1.00569457e-06
0.1470,1.02409636e-06,1.00577449e-06,1.00577450e-06
0.1480,1.02443936e-06,1.00585500e-06,1.00585501e-06
0.1490,1.02478498e-06,1.00593610e-06,1.00593610e-06
0.1500,1.02513321e-06,1.00601777e-06,1.00601778e-06
0.1510,1.02548407e-06,1.00610002e-06,1.00610003e-06
0.1520,1.02583755e-06,1.00618286e-06,1.00618287e-06
0.1530,1.02619367e-06,1.00626628e-06,1.00626629e-06
0.1540,1.02655243e-06,1.00635028e-06,1.00635029e-06
0.1550,1.02691382e-06,1.00643487e-06,1.00643488e-06
0.1560,1.02727786e-06,1.00652004e-06,1.00652005e-06
0.1570,1.02764454e-06,1.00660579e-06,1.00660580e-06
0.1580,1.02801388e-06,1.00669213e-06,1.00669214e-06
0.1590,1.02838587e-06,1.00677906e-06,1.00677907e-06
0.1600,1.02876052e-06,1.00686657e-06,1.00686658e-06
0.1610,1.02913783e-06,1.00695467e-06,1.00695468e-06
0.1620,1.02951781e-06,1.00704335e-06,1.00704336e-06
0.1630,1.02990046e-06,1.00713263e-06,1.00713263e-06
0.1640,1.03028579e-06,1.00722249e-06,1.00722249e-06
0.1650,1.03067380e-06,1.00731294e-06,1.00731294e-06
0.1660,1.03106448e-06,1.00740397e-06,1.00740398e-06
0.1670,1.03145786e-06,1.00749560e-06,1.00749561e-06
0.1680,1.03185392e-06,1.00758782e-06,1.00758783e-06
0.1690,1.03225268e-06,1.00768063e-06,1.00768063e-06
0.1700,1.03265414e-06,1.00777403e-06,1.00777403e-06
0.1710,1.03305830e-06,1.00786802e-06,1.00786802e-06
0.1720,1.03346516e-06,1.00796260e-06,1.00796261e-06
0.1730,1.03387473e-06,1.00805777e-06,1.00805778e-06
0.1740,1.03428702e-06,1.00815354e-06,1.00815355e-06
0.1750,1.03470202e-06,1.00824990e-06,1.00824991e-06
0.1760,1.03511975e-06,1.00834685e-06,1.00834686e-06
0.1770,1.03554020e-06,1.00844440e-06,1.00844441e-06
0.1780,1.03596337e-06,1.00854255e-06,1.00854256e-06
0.1790,1.03638928e-06,1.00864129e-06,1.00864130e-06
0.1800,1.03681793e-06,1.00874062e-06,1.00874063e-06
0.1810,1.03724931e-06,1.00884055e-06,1.00884056e-06
0.1820,1.03768344e-06,1.00894108e-06,1.00894109e-06
0.1830,1.03812032e-06,1.00904221e-06,1.00904222e-06
0.1840,1.03855994e-06,1.00914393e-06,1.00914394e-06
0.1850,1.03900233e-06,1.00924625e-06,1.00924626e-06
0.1860,1.03944746e-06,1.00934917e-06,1.00934918e-06
0.1870,1.03989537e-06,1.00945269e-06,1.00945270e-06
0.1880,1.04034603e-06,1.00955681e-06,1.00955682e-06
0.1890,1.04079947e-06,1.00966153e-06,1.00966154e-06
0.1900,1.04125568e-06,1.00976685e-06,1.00976686e-06
0.1910,1.04171466e-06,1.00987277e-06,1.00987278e-06
0.1920,1.04217643e-06,1.00997930e-06,1.00997931e-06
0.1930,1.04264098e-06,1.01008642e-06,1.01008643e-06
0.1940,1.04310832e-06,1.01019415e-06,1.01019416e-06
0.1950,1.04357845e-06,1.01030248e-06,1.01030249e-06
0.1960,1.04405137e-06,1.01041142e-06,1.01041143e-06
0.1970,1.04452709e-06,1.01052096e-06,1.01052097e-06
0.1980,1.04500562e-06,1.01063111e-06,1.01063112e-06
0.1990,1.04548694e-06,1.01074186e-06,1.01074187e-06
0.2000,1.04597108e-06,1.01085321e-06,1.01085322e-06
0.2010,1.04645803e-06,1.01096517e-06,1.01096518e-06
0.2020,1.04694780e-06,1.01107774e-06,1.01107775e-06
0.2030,1.04744038e-06,1.01119092e-06,1.01119093e-06
0.2040,1.04793579e-06,1.01130470e-06,1.01130471e-06
0.2050,1.04843403e-06,1.01141909e-06,1.01141910e-06
0.2060,1.04893509e-06,1.01153409e-06,1.01153410e-06
0.2070,1.04943899e-06,1.01164970e-06,1.01164971e-06
0.2080,1.04994573e-06,1.01176592e-06,1.01176593e-06
0.2090,1.05045530e-06,1.01188275e-06,1.01188276e-06
0.2100,1.05096772e-06,1.01200019e-06,1.01200020e-06
0.2110,1.05148298e-06,1.01211824e-06,1.01211825e-06
0.2120,1.05200110e-06,1.01223691e-06,1.01223692e-06
0.2130,1.05252207e-06,1.01235618e-06,1.01235619e-06
0.2140,1.05304590e-06,1.01247607e-06,1.01247608e-06
0.2150,1.05357258e-06,1.01259657e-06,1.01259658e-06
0.2160,1.05410213e-06,1.01271769e-06,1.01271770e-06
0.2170,1.05463455e-06,1.01283942e-06,1.01283943e-06
0.2180,1.05516984e-06,1.01296176e-06,1.01296177e-06
0.2190,1.05570800e-06,1.01308472e-06,1.01308473e-06
0.2200,1.05624904e-06,1.01320829e-06,1.01320831e-06
0.2210,1.05679295e-06,1.01333249e-06,1.01333250e-06
0.2220,1.05733975e-06,1.01345729e-06,1.01345730e-06
0.2230,1.05788944e-06,1.01358272e-06,1.01358273e-06
0.2240,1.05844201e-06,1.01370876e-06,1.01370877e-06
0.2250,1.05899748e-06,1.01383542e-06,1.01383543e-06
0.2260,1.05955585e-06,1.01396270e-06,1.01396271e-06
0.2270,1.06011711e-06,1.01409060e-06,1.01409061e-06
0.2280,1.06068127e-06,1.01421912e-06,1.01421913e-06
0.2290,1.06124834e-06,1.01434826e-06,1.01434827e-06
0.2300,1.06181832e-06,1.01447801e-06,1.01447803e-06
0.2310,1.06239121e-06,1.01460839e-06,1.01460841e-06
0.2320,1.06296701e-06,1.01473940e-06,1.01473941e-06
0.2330,1.06354573e-06,1.01487102e-06,1.01487103e-06
0.2340,1.06412736e-06,1.01500327e-06,1.01500328e-06
0.2350,1.06471193e-06,1.01513614e-06,1.01513615e-06
0.2360,1.06529941e-06,1.01526963e-06,1.01526964e-06
0.2370,1.06588983e-06,1.01540375e-06,1.01540376e-06
0.2380,1.06648317e-06,1.01553849e-06,1.01553850e-06
0.2390,1.06707946e-06,1.01567386e-06,1.01567387e-06
0.2400,1.06767867e-06,1.01580985e-06,1.01580986e-06
0.2410,1.06828083e-06,1.01594647e-06,1.01594648e-06
0.2420,1.06888593e-06,1.01608372e-06,1.01608373e-06
0.2430,1.06949398e-06,1.01622159e-06,1.01622160e-06
0.2440,1.07010497e-06,1.01636009e-06,1.01636010e-06
0.2450,1.07071891e-06,1.01649922e-06,1.01649923e-06
0.2460,1.07133581e-06,1.01663898e-06,1.01663899e-06
0.2470,1.07195567e-06,1.01677936e-06,1.01677938e-06
0.2480,1.07257848e-06,1.01692038e-06,1.01692039e-06
0.2490,1.07320425e-06,1.01706203e-06,1.01706204e-06
0.2500,1.07383299e-06,1.01720430e-06,1.01720432e-06
0.2510,1.07446470e-06,1.01734721e-06,1.01734723e-06
0.2520,1.07509937e-06,1.01749075e-06,1.01749077e-06
0.2530,1.07573702e-06,1.01763493e-06,1.01763494e-06
0.2540,1.07637763e-06,1.01777973e-06,1.01777974e-06
0.2550,1.07702123e-06,1.01792517e-06,1.01792518e-06
0.2560,1.07766780e-06,1.01807124e-06,1.01807125e-06
0.2570,1.07831736e-06,1.01821795e-06,1.01821796e-06
0.2580,1.07896990e-06,1.01836529e-06,1.01836530e-06
0.2590,1.07962542e-06,1.01851326e-06,1.01851328e-06
0.2600,1.08028394e-06,1.01866187e-06,1.01866189e-06
0.2610,1.08094544e-06,1.01881112e-06,1.01881113e-06
0.2620,1.08160994e-06,1.01896101e-06,1.01896102e-06
0.2630,1.08227743e-06,1.01911153e-06,1.01911154e-06
0.2640,1.08294792e-06,1.01926269e-06,1.01926270e-06
